date,description,amount
2025-10-01,Salary Credit,50000
2025-10-02,Zomato Order,-450
2025-10-03,Uber Ride,-200
2025-10-04,DMart Grocery,-2500
2025-10-05,Coffee at Starbucks,-350
2025-10-06,Swiggy Dinner,-580
2025-10-08,Rent Payment,-15000
2025-10-09,Electricity Bill,-1200
2025-10-10,Netflix Subscription,-199
2025-10-11,Ola Auto,-80
2025-10-12,Amazon Shopping,-2200
2025-10-13,Petrol Pump,-1500
2025-10-15,Restaurant Lunch,-800
2025-10-16,Mobile Recharge,-599
2025-10-17,Grocery Store,-1800
2025-10-18,Uber Ride,-150
2025-10-19,Swiggy Order,-420
2025-10-20,Wifi Bill,-999
2025-10-22,Flipkart Shopping,-3500
2025-10-23,Zomato,-380
2025-10-24,Metro Card Recharge,-500
2025-10-25,Pharmacy Medicine,-650
2025-10-26,Coffee Shop,-200
2025-10-27,Petrol,-1200
2025-10-28,Grocery,-2200
2025-10-29,Amazon Prime,-299
2025-10-30,Restaurant Dinner,-1200
2025-10-31,Uber Ride,-180
2025-11-01,Freelance Income,15000
2025-11-02,Zomato Order,-520
2025-11-03,DMart Shopping,-3200
2025-11-05,Uber Ride,-250
2025-11-07,Electricity Bill,-1300
2025-11-08,Shopping Mall,-4500
2025-11-10,Swiggy Order,-680
2025-11-12,Petrol Pump,-1800
2025-11-15,Restaurant,-950
2025-11-18,Netflix,-199
2025-11-20,Grocery Store,-2100
2025-11-22,Flipkart,-2800
2025-11-25,Coffee,-220
2025-11-27,Uber,-200
2025-11-28,Zomato,-450
